Order_ID,Order_Date,Region,Category,Product,Quantity,Unit_Price,Sales,Profit
ORD-1042,2025-01-30,East,Electronics,Laptop,2,55541.86,111083.72,29918.72
ORD-1043,2025-01-31,North,Office Supplies,Stapler,10,1474.14,14741.4,2641.05
ORD-1044,2025-02-01,North,Furniture,Office Chair,5,22610.03,113050.15,23545.56
ORD-1045,2025-02-02,West,Electronics,Monitor,3,43776.58,131329.74,36020.8
ORD-1046,2025-02-02,West,Furniture,Table,1,16408.76,16408.76,1165.6
ORD-1047,2025-02-03,South,Clothing,Jeans,8,3756.65,30053.2,1571.76
ORD-1048,2025-02-04,South,Electronics,Monitor,9,1099.65,9896.85,892.72
ORD-1049,2025-02-05,North,Furniture,Desk,3,16647.07,49941.21,5297.13
ORD-1050,2025-02-05,West,Clothing,T-Shirt,5,1319.29,6596.45,934.17
ORD-1051,2025-02-06,East,Office Supplies,Printer Paper,1,496.69,496.69,92.2
ORD-1052,2025-02-07,South,Office Supplies,Pen Set,7,413.17,2892.19,571.11
ORD-1053,2025-02-07,North,Electronics,Monitor,6,54441.05,326646.3,51805.64
ORD-1054,2025-02-08,East,Furniture,Office Chair,1,5685.83,5685.83,1311.23
ORD-1055,2025-02-09,South,Clothing,Jacket,1,548.54,548.54,163.81
ORD-1056,2025-02-10,North,Electronics,Headphones,5,53102.85,265514.25,62908.21
ORD-1057,2025-02-10,West,Clothing,T-Shirt,1,3450.76,3450.76,666.25
ORD-1058,2025-02-11,East,Electronics,Keyboard,5,12101.93,60509.65,7086.81
ORD-1059,2025-02-12,East,Clothing,Jeans,9,2549.74,22947.66,5990.56
ORD-1060,2025-02-13,East,Clothing,Jeans,8,1490.84,11926.72,2597.47
ORD-1061,2025-02-13,North,Furniture,Bookshelf,10,22056.95,220569.5,51876.22
ORD-1062,2025-02-14,East,Electronics,Monitor,6,22081.88,132491.28,16349.15
ORD-1063,2025-02-15,South,Furniture,Bookshelf,2,21809.74,43619.48,12139.74
ORD-1064,2025-02-15,West,Office Supplies,Notebook,4,1207.53,4830.12,1026.36
ORD-1065,2025-02-16,South,Furniture,Table,3,9111.88,27335.64,3933.48
ORD-1066,2025-02-17,South,Clothing,Jacket,6,2170.47,13022.82,1155.91
ORD-1067,2025-02-18,South,Electronics,Headphones,10,51735.95,517359.5,58235.45
ORD-1068,2025-02-18,West,Furniture,Bookshelf,6,13889.98,83339.88,10972.76
ORD-1069,2025-02-19,West,Electronics,Keyboard,5,27870.1,139350.5,36301.61
ORD-1070,2025-02-20,North,Clothing,Jeans,3,3933.35,11800.05,2731.98
ORD-1071,2025-02-21,East,Furniture,Table,10,8750.96,87509.6,21772.09
ORD-1072,2025-02-21,North,Office Supplies,Stapler,10,163.76,1637.6,92.26
ORD-1073,2025-02-22,South,Furniture,Bookshelf,9,17524.0,157716.0,10180.32
ORD-1074,2025-02-23,North,Electronics,Monitor,2,14995.41,29990.82,2203.38
ORD-1075,2025-02-23,West,Clothing,T-Shirt,5,3938.14,19690.7,3528.06
ORD-1076,2025-02-24,South,Office Supplies,Notebook,6,1108.56,6651.36,411.91
ORD-1077,2025-02-25,West,Clothing,Jacket,5,984.94,4924.7,667.15
ORD-1078,2025-02-26,North,Electronics,Monitor,1,19235.67,19235.67,5672.17
ORD-1079,2025-02-26,West,Clothing,Sneakers,10,4651.18,46511.8,11708.33
ORD-1080,2025-02-27,North,Electronics,Headphones,5,24391.48,121957.4,24874.74
ORD-1081,2025-02-28,South,Clothing,Jeans,4,2435.29,9741.16,2011.21
ORD-1082,2025-03-01,West,Clothing,T-Shirt,8,4054.55,32436.4,2943.07
ORD-1083,2025-03-01,East,Clothing,Jacket,2,451.11,902.22,177.24
ORD-1084,2025-03-02,North,Clothing,Sneakers,2,3568.19,7136.38,586.08
ORD-1085,2025-03-03,West,Office Supplies,Printer Paper,5,957.61,4788.05,1221.46
ORD-1086,2025-03-04,East,Furniture,Bookshelf,2,1935.12,3870.24,791.71
ORD-1087,2025-03-04,South,Electronics,Headphones,8,23615.48,188923.84,41639.46
ORD-1088,2025-03-05,South,Furniture,Bookshelf,9,12904.9,116144.1,25925.99
ORD-1089,2025-03-06,North,Electronics,Monitor,8,44316.21,354529.68,88940.94
ORD-1090,2025-03-06,North,Clothing,Jeans,5,4578.5,22892.5,5762.24
ORD-1091,2025-03-07,West,Office Supplies,Stapler,4,589.43,2357.72,575.53
ORD-1092,2025-03-08,East,Office Supplies,Pen Set,5,395.97,1979.85,435.49
ORD-1093,2025-03-09,West,Electronics,Monitor,9,23161.55,208453.95,38268.37
ORD-1094,2025-03-09,West,Clothing,T-Shirt,6,1996.52,11979.12,898.39
ORD-1095,2025-03-10,West,Clothing,T-Shirt,9,5128.72,46158.48,6403.4
ORD-1096,2025-03-11,North,Furniture,Bookshelf,4,14762.51,59050.04,12280.01
ORD-1097,2025-03-12,North,Electronics,Monitor,9,33579.22,302212.98,31182.93
ORD-1098,2025-03-12,South,Office Supplies,Stapler,9,214.52,1930.68,545.87
ORD-1099,2025-03-13,East,Office Supplies,Pen Set,10,690.22,6902.2,1876.89
ORD-1100,2025-03-14,North,Office Supplies,Pen Set,9,1154.19,10387.71,2124.85
ORD-1101,2025-03-14,South,Furniture,Bookshelf,8,2746.31,21970.48,5612.69
ORD-1102,2025-03-15,North,Furniture,Office Chair,5,6597.47,32987.35,6443.3
ORD-1103,2025-03-16,North,Electronics,Headphones,4,14811.76,59247.04,16406.89
ORD-1104,2025-03-17,West,Clothing,Sneakers,6,4336.63,26019.78,4434.21
ORD-1105,2025-03-17,East,Furniture,Bookshelf,10,22752.51,227525.1,17701.31
ORD-1106,2025-03-18,West,Electronics,Laptop,2,28544.71,57089.42,3658.05
ORD-1107,2025-03-19,West,Clothing,T-Shirt,9,4542.01,40878.09,9003.8
ORD-1108,2025-03-20,North,Furniture,Office Chair,1,2989.39,2989.39,544.35
ORD-1109,2025-03-20,West,Furniture,Desk,5,2041.62,10208.1,2870.12
ORD-1110,2025-03-21,East,Electronics,Keyboard,3,41968.34,125905.02,8669.65
ORD-1111,2025-03-22,West,Electronics,Laptop,1,37951.44,37951.44,7441.46
ORD-1112,2025-03-22,West,Office Supplies,Notebook,10,1428.1,14281.0,3892.51
ORD-1113,2025-03-23,South,Clothing,Sneakers,5,1881.07,9405.35,912.6
ORD-1114,2025-03-24,West,Clothing,Jeans,2,1815.85,3631.7,508.75
ORD-1115,2025-03-25,North,Clothing,Jacket,6,484.2,2905.2,348.45
ORD-1116,2025-03-25,West,Clothing,T-Shirt,3,4988.46,14965.38,4301.8
ORD-1117,2025-03-26,South,Electronics,Monitor,9,25559.99,230039.91,65143.19
ORD-1118,2025-03-27,North,Office Supplies,Notebook,5,88.23,441.15,63.58
ORD-1119,2025-03-28,North,Furniture,Table,1,10041.74,10041.74,2383.85
ORD-1120,2025-03-28,East,Furniture,Bookshelf,1,21119.89,21119.89,3530.68
ORD-1121,2025-03-29,North,Office Supplies,Notebook,5,131.74,658.7,175.33
ORD-1122,2025-03-30,North,Electronics,Monitor,5,59800.9,299004.5,56469.37
ORD-1123,2025-03-30,South,Electronics,Laptop,10,51099.13,510991.3,57147.75
ORD-1124,2025-03-31,South,Electronics,Headphones,1,57279.82,57279.82,11544.38
ORD-1125,2025-04-01,West,Electronics,Laptop,8,37393.19,299145.52,41742.97
ORD-1126,2025-04-02,East,Office Supplies,Pen Set,10,804.45,8044.5,1955.45
ORD-1127,2025-04-02,South,Furniture,Table,1,14245.76,14245.76,2710.03
ORD-1128,2025-04-03,East,Office Supplies,Notebook,1,244.32,244.32,13.97
ORD-1129,2025-04-04,West,Electronics,Laptop,2,48458.64,96917.28,26728.6
ORD-1130,2025-04-05,East,Clothing,Jeans,6,3766.1,22596.6,4726.33
ORD-1131,2025-04-05,West,Office Supplies,Printer Paper,2,554.97,1109.94,198.12
ORD-1132,2025-04-06,North,Office Supplies,Stapler,7,809.22,5664.54,1271.18
ORD-1133,2025-04-07,West,Clothing,Jeans,8,5099.92,40799.36,9882.81
ORD-1134,2025-04-08,South,Clothing,T-Shirt,2,3838.59,7677.18,1050.65
ORD-1135,2025-04-08,West,Office Supplies,Printer Paper,3,829.03,2487.09,410.44
ORD-1136,2025-04-09,West,Office Supplies,Printer Paper,6,1061.62,6369.72,605.23
ORD-1137,2025-04-10,West,Clothing,T-Shirt,3,5283.61,15850.83,2834.27
ORD-1138,2025-04-10,South,Furniture,Office Chair,10,6372.38,63723.8,16278.1
ORD-1139,2025-04-11,North,Clothing,Jeans,6,805.6,4833.6,387.46
ORD-1140,2025-04-12,East,Clothing,Jeans,2,1033.87,2067.74,274.03
ORD-1141,2025-04-13,West,Electronics,Headphones,9,29283.81,263554.29,58494.87
ORD-1142,2025-04-13,North,Furniture,Bookshelf,1,7645.06,7645.06,1923.12
ORD-1143,2025-04-14,South,Office Supplies,Notebook,4,353.56,1414.24,201.7
ORD-1144,2025-04-15,South,Furniture,Desk,7,13750.38,96252.66,22150.53
ORD-1145,2025-04-16,East,Furniture,Bookshelf,8,4194.81,33558.48,7442.98
ORD-1146,2025-04-16,East,Furniture,Bookshelf,2,11737.9,23475.8,4299.69
ORD-1147,2025-04-17,North,Clothing,T-Shirt,7,2450.52,17153.64,943.76
ORD-1148,2025-04-18,North,Electronics,Monitor,6,20187.84,121127.04,9682.96
ORD-1149,2025-04-18,North,Electronics,Keyboard,9,41002.86,369025.74,91257.41
ORD-1150,2025-04-19,West,Furniture,Bookshelf,4,13890.56,55562.24,10929.66
ORD-1151,2025-04-20,West,Clothing,T-Shirt,3,2459.0,7377.0,991.19
ORD-1152,2025-04-21,South,Furniture,Table,2,6864.48,13728.96,2396.55
ORD-1153,2025-04-21,South,Electronics,Laptop,1,1246.03,1246.03,132.49
ORD-1154,2025-04-22,South,Office Supplies,Stapler,4,1283.69,5134.76,369.56
ORD-1155,2025-04-23,East,Office Supplies,Stapler,7,1271.36,8899.52,559.86
ORD-1156,2025-04-24,West,Clothing,T-Shirt,4,5984.36,23937.44,6562.51
ORD-1157,2025-04-24,South,Clothing,Jacket,4,330.21,1320.84,388.02
ORD-1158,2025-04-25,East,Clothing,Jeans,3,4978.91,14936.73,3429.69
ORD-1159,2025-04-26,South,Clothing,Jeans,3,5079.92,15239.76,1543.32
ORD-1160,2025-04-26,West,Furniture,Table,3,5788.17,17364.51,4064.37
ORD-1161,2025-04-27,South,Office Supplies,Notebook,10,1163.28,11632.8,835.5
ORD-1162,2025-04-28,South,Office Supplies,Printer Paper,4,514.93,2059.72,408.79
ORD-1163,2025-04-29,South,Furniture,Table,10,14166.47,141664.7,26523.95
ORD-1164,2025-04-29,North,Electronics,Keyboard,2,6001.79,12003.58,1016.78
ORD-1165,2025-04-30,East,Electronics,Laptop,8,36681.23,293449.84,72943.52
ORD-1166,2025-05-01,North,Electronics,Laptop,2,8158.4,16316.8,3797.19
ORD-1167,2025-05-02,South,Furniture,Table,3,2595.91,7787.73,1832.3
ORD-1168,2025-05-02,West,Clothing,Sneakers,8,5019.26,40154.08,9541.63
ORD-1169,2025-05-03,South,Furniture,Bookshelf,5,5473.72,27368.6,2981.07
ORD-1170,2025-05-04,South,Furniture,Desk,4,8588.72,34354.88,6770.55
ORD-1171,2025-05-05,North,Clothing,Sneakers,7,4368.56,30579.92,8406.94
ORD-1172,2025-05-05,North,Furniture,Office Chair,7,11529.87,80709.09,15687.55
ORD-1173,2025-05-06,West,Electronics,Monitor,7,32285.96,226001.72,15064.09
ORD-1174,2025-05-07,East,Office Supplies,Printer Paper,3,675.72,2027.16,270.03
ORD-1175,2025-05-07,West,Clothing,Jeans,4,4825.94,19303.76,3957.62
ORD-1176,2025-05-08,North,Furniture,Bookshelf,4,24944.62,99778.48,23757.33
ORD-1177,2025-05-09,South,Electronics,Monitor,7,9273.18,64912.26,6564.98
ORD-1178,2025-05-10,East,Furniture,Office Chair,10,9209.96,92099.6,23514.35
ORD-1179,2025-05-10,West,Office Supplies,Stapler,8,925.74,7405.92,1300.27
ORD-1180,2025-05-11,East,Electronics,Laptop,4,43557.35,174229.4,40074.35
ORD-1181,2025-05-12,North,Office Supplies,Printer Paper,4,836.95,3347.8,378.13
ORD-1182,2025-05-13,East,Clothing,Jacket,10,2252.39,22523.9,2406.4
ORD-1183,2025-05-13,North,Office Supplies,Pen Set,10,900.03,9000.3,1588.3
ORD-1184,2025-05-14,West,Electronics,Monitor,8,52429.74,419437.92,118713.33
ORD-1185,2025-05-15,South,Clothing,Sneakers,5,5558.25,27791.25,6303.32
ORD-1186,2025-05-15,South,Electronics,Keyboard,10,4880.16,48801.6,3383.43
ORD-1187,2025-05-16,North,Clothing,T-Shirt,6,5490.91,32945.46,2658.79
ORD-1188,2025-05-17,East,Electronics,Headphones,4,8180.03,32720.12,9168.52
ORD-1189,2025-05-18,North,Furniture,Bookshelf,3,15190.61,45571.83,6824.41
ORD-1190,2025-05-18,North,Electronics,Laptop,10,48328.92,483289.2,24724.11
ORD-1191,2025-05-19,South,Office Supplies,Printer Paper,4,829.22,3316.88,928.61
ORD-1192,2025-05-20,East,Office Supplies,Pen Set,2,1381.76,2763.52,543.77
ORD-1193,2025-05-21,West,Clothing,Jacket,3,1714.89,5144.67,1000.16
ORD-1194,2025-05-21,East,Furniture,Office Chair,8,8475.36,67802.88,16620.11
ORD-1195,2025-05-22,West,Furniture,Desk,2,16924.9,33849.8,3199.11
ORD-1196,2025-05-23,North,Electronics,Laptop,4,25345.75,101383.0,7232.4
ORD-1197,2025-05-23,East,Clothing,T-Shirt,7,3693.69,25855.83,1726.37
ORD-1198,2025-05-24,North,Office Supplies,Printer Paper,8,1352.18,10817.44,1095.64
ORD-1199,2025-05-25,East,Electronics,Laptop,8,35577.25,284618.0,35153.5
ORD-1200,2025-05-26,South,Office Supplies,Pen Set,2,824.96,1649.92,280.94
ORD-1201,2025-05-26,East,Furniture,Bookshelf,4,5366.28,21465.12,5697.84
ORD-1202,2025-05-27,West,Office Supplies,Stapler,10,442.58,4425.8,933.84
ORD-1203,2025-05-28,North,Electronics,Monitor,7,10044.23,70309.61,16100.41
ORD-1204,2025-05-29,East,Clothing,T-Shirt,9,1565.24,14087.16,1518.15
ORD-1205,2025-05-29,East,Office Supplies,Notebook,8,200.96,1607.68,401.89
ORD-1206,2025-05-30,South,Office Supplies,Notebook,8,194.19,1553.52,172.12
ORD-1207,2025-05-31,South,Clothing,Sneakers,4,5683.14,22732.56,1938.42
ORD-1208,2025-05-31,East,Office Supplies,Printer Paper,2,68.85,137.7,9.83
ORD-1209,2025-06-01,South,Electronics,Monitor,3,35316.06,105948.18,16459.7
ORD-1210,2025-06-02,South,Electronics,Monitor,5,21035.59,105177.95,12080.3
ORD-1211,2025-06-03,South,Office Supplies,Printer Paper,7,438.69,3070.83,632.71
ORD-1212,2025-06-03,West,Clothing,Jeans,9,2785.92,25073.28,3099.47
ORD-1213,2025-06-04,East,Furniture,Desk,8,3741.71,29933.68,5730.63
ORD-1214,2025-06-05,North,Furniture,Bookshelf,1,12634.68,12634.68,2250.42
ORD-1215,2025-06-06,East,Clothing,Jeans,9,1769.96,15929.64,1351.46
ORD-1216,2025-06-06,East,Furniture,Table,10,13616.56,136165.6,12652.48
ORD-1217,2025-06-07,West,Electronics,Monitor,6,54926.49,329558.94,26179.43
ORD-1218,2025-06-08,South,Electronics,Headphones,2,33607.34,67214.68,14306.99
ORD-1219,2025-06-09,North,Clothing,Jacket,5,362.68,1813.4,152.73
ORD-1220,2025-06-09,North,Office Supplies,Pen Set,8,413.56,3308.48,689.07
ORD-1221,2025-06-10,South,Office Supplies,Pen Set,1,657.22,657.22,95.81
ORD-1222,2025-06-11,East,Furniture,Table,2,4990.8,9981.6,2340.77
ORD-1223,2025-06-11,West,Electronics,Keyboard,3,15324.67,45974.01,6773.07
ORD-1224,2025-06-12,East,Office Supplies,Stapler,4,1092.62,4370.48,543.17
ORD-1225,2025-06-13,North,Furniture,Desk,7,16928.11,118496.77,33677.66
ORD-1226,2025-06-14,East,Clothing,T-Shirt,10,477.74,4777.4,552.11
ORD-1227,2025-06-14,South,Clothing,Jacket,1,3129.29,3129.29,623.39
ORD-1228,2025-06-15,North,Electronics,Headphones,2,7110.62,14221.24,978.2
ORD-1229,2025-06-16,East,Electronics,Laptop,8,26541.78,212334.24,23696.61
ORD-1230,2025-06-17,East,Furniture,Office Chair,3,7531.48,22594.44,4463.7
ORD-1231,2025-06-17,East,Electronics,Keyboard,1,8899.66,8899.66,2559.18
ORD-1232,2025-06-18,North,Electronics,Monitor,8,45696.83,365574.64,76674.65
ORD-1233,2025-06-19,South,Office Supplies,Notebook,6,973.99,5843.94,1724.8
ORD-1234,2025-06-19,West,Electronics,Keyboard,10,3854.47,38544.7,8382.68
ORD-1235,2025-06-20,South,Furniture,Table,7,24984.48,174891.36,33046.01
ORD-1236,2025-06-21,West,Furniture,Bookshelf,5,18544.57,92722.85,9100.73
ORD-1237,2025-06-22,West,Furniture,Bookshelf,7,20088.2,140617.4,33223.13
ORD-1238,2025-06-22,South,Office Supplies,Printer Paper,2,807.53,1615.06,341.0
ORD-1239,2025-06-23,East,Office Supplies,Stapler,3,862.98,2588.94,440.81
ORD-1240,2025-06-24,East,Electronics,Monitor,8,26909.1,215272.8,32532.32
ORD-1241,2025-06-25,North,Office Supplies,Stapler,1,830.68,830.68,178.94
ORD-1242,2025-06-25,East,Furniture,Office Chair,10,22039.97,220399.7,34024.54
ORD-1243,2025-06-26,West,Furniture,Desk,7,5451.35,38159.45,5570.94
ORD-1244,2025-06-27,North,Office Supplies,Printer Paper,7,63.75,446.25,28.19
ORD-1245,2025-06-27,West,Electronics,Headphones,5,29203.05,146015.25,28500.61
ORD-1246,2025-06-28,West,Office Supplies,Notebook,10,182.96,1829.6,245.34
ORD-1247,2025-06-29,South,Electronics,Laptop,1,7340.07,7340.07,1017.74
ORD-1248,2025-06-30,North,Furniture,Table,2,6606.59,13213.18,799.71
ORD-1249,2025-06-30,West,Electronics,Headphones,9,7280.48,65524.32,9691.54
ORD-1250,2025-07-01,West,Clothing,Jacket,10,4848.54,48485.4,5563.49
ORD-1251,2025-07-02,South,Furniture,Bookshelf,8,22220.78,177766.24,35588.73
ORD-1252,2025-07-03,West,Electronics,Headphones,9,44806.49,403258.41,26714.5
ORD-1253,2025-07-03,South,Clothing,T-Shirt,6,3764.1,22584.6,4023.95
ORD-1254,2025-07-04,East,Office Supplies,Pen Set,9,369.71,3327.39,321.46
ORD-1255,2025-07-05,North,Clothing,Jeans,5,629.7,3148.5,920.23
ORD-1256,2025-07-06,South,Electronics,Monitor,4,59698.54,238794.16,22321.0
ORD-1257,2025-07-06,West,Office Supplies,Pen Set,2,1059.23,2118.46,187.43
ORD-1258,2025-07-07,West,Office Supplies,Pen Set,8,1134.41,9075.28,532.87
ORD-1259,2025-07-08,East,Furniture,Office Chair,2,11978.37,23956.74,3540.63
ORD-1260,2025-07-08,South,Clothing,T-Shirt,9,552.95,4976.55,1309.07
ORD-1261,2025-07-09,South,Electronics,Monitor,8,55950.1,447600.8,104650.48
ORD-1262,2025-07-10,South,Clothing,Sneakers,6,1780.6,10683.6,2466.36
ORD-1263,2025-07-11,North,Furniture,Desk,5,6284.4,31422.0,6938.44
ORD-1264,2025-07-11,North,Electronics,Laptop,2,30112.67,60225.34,10247.14
ORD-1265,2025-07-12,East,Office Supplies,Pen Set,3,554.32,1662.96,365.03
ORD-1266,2025-07-13,West,Electronics,Laptop,1,52814.9,52814.9,13169.74
ORD-1267,2025-07-14,North,Clothing,T-Shirt,9,2203.85,19834.65,2175.32
ORD-1268,2025-07-14,North,Furniture,Table,6,5541.32,33247.92,8990.55
ORD-1269,2025-07-15,West,Furniture,Office Chair,3,22097.72,66293.16,3399.93
ORD-1270,2025-07-16,South,Office Supplies,Notebook,7,283.1,1981.7,504.33
ORD-1271,2025-07-16,East,Electronics,Laptop,7,12233.47,85634.29,6082.14
ORD-1272,2025-07-17,West,Electronics,Laptop,1,7657.96,7657.96,1104.08
ORD-1273,2025-07-18,East,Clothing,T-Shirt,3,1032.16,3096.48,374.17
ORD-1274,2025-07-19,South,Furniture,Office Chair,2,9204.93,18409.86,3832.11
ORD-1275,2025-07-19,South,Electronics,Laptop,6,56283.93,337703.58,74960.55
ORD-1276,2025-07-20,South,Clothing,Jacket,1,4694.61,4694.61,1066.35
ORD-1277,2025-07-21,South,Electronics,Headphones,10,5221.91,52219.1,13739.04
ORD-1278,2025-07-22,West,Clothing,Jacket,4,3991.17,15964.68,3170.57
ORD-1279,2025-07-22,East,Office Supplies,Notebook,1,519.23,519.23,89.39
ORD-1280,2025-07-23,North,Office Supplies,Pen Set,7,696.56,4875.92,577.34
ORD-1281,2025-07-24,East,Clothing,T-Shirt,3,2872.91,8618.73,783.49
ORD-1282,2025-07-24,West,Electronics,Laptop,4,50524.87,202099.48,49151.74
ORD-1283,2025-07-25,West,Furniture,Bookshelf,3,23820.73,71462.19,6271.84
ORD-1284,2025-07-26,North,Electronics,Laptop,5,38600.74,193003.7,28834.48
ORD-1285,2025-07-27,South,Electronics,Monitor,1,19787.97,19787.97,4573.11
ORD-1286,2025-07-27,East,Electronics,Monitor,1,39378.68,39378.68,5596.95
ORD-1287,2025-07-28,North,Clothing,Sneakers,8,1207.7,9661.6,975.1
ORD-1288,2025-07-29,West,Electronics,Keyboard,2,45852.62,91705.24,18942.18
ORD-1289,2025-07-30,South,Clothing,T-Shirt,8,5548.83,44390.64,9062.91
ORD-1290,2025-07-30,West,Office Supplies,Notebook,7,231.52,1620.64,358.8
ORD-1291,2025-07-31,North,Electronics,Headphones,9,10320.87,92887.83,19773.95
ORD-1292,2025-08-01,North,Electronics,Headphones,8,26448.21,211585.68,62647.95
ORD-1293,2025-08-02,East,Clothing,T-Shirt,2,4178.6,8357.2,1244.27
ORD-1294,2025-08-02,West,Office Supplies,Pen Set,9,1297.18,11674.62,2859.85
ORD-1295,2025-08-03,North,Office Supplies,Pen Set,3,202.15,606.45,67.02
ORD-1296,2025-08-04,South,Furniture,Table,6,15835.74,95014.44,21436.8
ORD-1297,2025-08-04,North,Clothing,Sneakers,2,2160.83,4321.66,775.43
ORD-1298,2025-08-05,East,Electronics,Laptop,1,49611.23,49611.23,6918.3
ORD-1299,2025-08-06,East,Furniture,Desk,7,5820.62,40744.34,9098.15
ORD-1300,2025-08-07,North,Furniture,Desk,7,17089.25,119624.75,34438.47
ORD-1301,2025-08-07,East,Office Supplies,Printer Paper,6,912.43,5474.58,1117.64
ORD-1302,2025-08-08,West,Clothing,T-Shirt,2,5630.65,11261.3,3230.16
ORD-1303,2025-08-09,South,Furniture,Table,7,16859.68,118017.76,22216.89
ORD-1304,2025-08-10,West,Furniture,Desk,10,12541.69,125416.9,7548.66
ORD-1305,2025-08-10,North,Furniture,Desk,2,2448.45,4896.9,547.35
ORD-1306,2025-08-11,West,Electronics,Laptop,3,13777.47,41332.41,12150.34
ORD-1307,2025-08-12,West,Electronics,Keyboard,7,26472.4,185306.8,11288.04
ORD-1308,2025-08-12,West,Furniture,Desk,2,16678.31,33356.62,4439.05
ORD-1309,2025-08-13,North,Electronics,Monitor,3,5626.37,16879.11,2545.63
ORD-1310,2025-08-14,North,Electronics,Headphones,1,50554.78,50554.78,4729.32
ORD-1311,2025-08-15,West,Office Supplies,Pen Set,8,666.97,5335.76,728.24
ORD-1312,2025-08-15,North,Furniture,Table,8,14039.21,112313.68,20047.88
ORD-1313,2025-08-16,East,Clothing,Jeans,5,2554.44,12772.2,2574.2
ORD-1314,2025-08-17,South,Furniture,Table,6,16720.22,100321.32,29899.1
ORD-1315,2025-08-18,East,Furniture,Office Chair,3,15951.2,47853.6,9948.29
ORD-1316,2025-08-18,East,Electronics,Monitor,10,43176.84,431768.4,119711.3
ORD-1317,2025-08-19,North,Furniture,Table,2,5343.45,10686.9,2817.03
ORD-1318,2025-08-20,West,Electronics,Headphones,6,52348.39,314090.34,50671.04
ORD-1319,2025-08-20,East,Office Supplies,Notebook,4,909.78,3639.12,330.73
ORD-1320,2025-08-21,North,Electronics,Laptop,2,51592.79,103185.58,5392.23
